YEAR,LOCATION,"STATE ANSI","ASD CODE","COUNTY ANSI","REFERENCE PERIOD",COMMODITY,"PRODN PRACTICE","AREA HARVESTED in ACRES","PRODUCTION in BU","YIELD in BU / ACRE","AREA PLANTED in ACRES","PRODUCTION in $","PRODUCTION in TONS","YIELD in TONS / ACRE"
1950,ALABAMA,01,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","2,678,000"," "," "," "
1950,ARIZONA,04,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","34,000"," "," "," "
1950,ARKANSAS,05,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","1,422,000"," "," "," "
1950,CALIFORNIA,06,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","81,000"," "," "," "
1950,COLORADO,08,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","597,000"," "," "," "
1950,CONNECTICUT,09,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","40,000"," "," "," "
1950,DELAWARE,10,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","139,000"," "," "," "
1950,FLORIDA,12,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","625,000"," "," "," "
1950,GEORGIA,13,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","3,295,000"," "," "," "
1950,IDAHO,16,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","27,000"," "," "," "
1950,ILLINOIS,17,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","8,352,000"," "," "," "
1950,INDIANA,18,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","4,406,000"," "," "," "
1950,IOWA,19,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","9,837,000"," "," "," "
1950,KANSAS,20,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","2,608,000"," "," "," "
1950,KENTUCKY,21,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","2,180,000"," "," "," "
1950,LOUISIANA,22,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","853,000"," "," "," "
1951,ALABAMA,01,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","2,536,000"," "," "," "
1951,ARIZONA,04,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","34,000"," "," "," "
1951,ARKANSAS,05,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","1,052,000"," "," "," "
1951,CALIFORNIA,06,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","69,000"," "," "," "
1951,COLORADO,08,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","591,000"," "," "," "
1951,CONNECTICUT,09,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","38,000"," "," "," "
1951,DELAWARE,10,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","162,000"," "," "," "
1951,FLORIDA,12,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","606,000"," "," "," "
1951,GEORGIA,13,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES"," "," "," ","3,134,000"," "," "," "
