YEAR,LOCATION,"STATE ANSI","ASD CODE","COUNTY ANSI","REFERENCE PERIOD",COMMODITY,"PRODN PRACTICE","AREA PLANTED in ACRES","AREA HARVESTED in ACRES","PRODUCTION in BU","YIELD in BU / ACRE","PRODUCTION in TONS","YIELD in TONS / ACRE","PRODUCTION in $"
1950,MAINE,23,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","15,000"," "," "," "," "," "," "
1950,MARYLAND,24,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","448,000"," "," "," "," "," "," "
1950,MASSACHUSETTS,25,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","36,000"," "," "," "," "," "," "
1950,MICHIGAN,26,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","1,592,000"," "," "," "," "," "," "
1950,MINNESOTA,27,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","5,227,000"," "," "," "," "," "," "
1950,MISSISSIPPI,28,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","2,247,000"," "," "," "," "," "," "
1950,MISSOURI,29,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","4,043,000"," "," "," "," "," "," "
1950,MONTANA,30,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","204,000"," "," "," "," "," "," "
1950,NEBRASKA,31,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","7,018,000"," "," "," "," "," "," "
1950,NEBRASKA,31,"  ","   ",YEAR,CORN,IRRIGATED,"487,320"," "," "," "," "," "," "
1950,NEBRASKA,31,"  ","   ",YEAR,CORN,NON-IRRIGATED,"6,530,680"," "," "," "," "," "," "
1950,NEVADA,32,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","2,000"," "," "," "," "," "," "
1950,"NEW HAMPSHIRE",33,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","13,000"," "," "," "," "," "," "
1950,"NEW JERSEY",34,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","174,000"," "," "," "," "," "," "
1950,"NEW MEXICO",35,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","81,000"," "," "," "," "," "," "
1950,"NEW YORK",36,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","673,000"," "," "," "," "," "," "
1950,"NORTH CAROLINA",37,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","2,282,000"," "," "," "," "," "," "
1950,"NORTH DAKOTA",38,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","1,338,000"," "," "," "," "," "," "
1950,OHIO,39,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","3,384,000"," "," "," "," "," "," "
1950,OKLAHOMA,40,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","1,083,000"," "," "," "," "," "," "
1950,OREGON,41,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","25,000"," "," "," "," "," "," "
1950,PENNSYLVANIA,42,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","1,312,000"," "," "," "," "," "," "
1950,"RHODE ISLAND",44,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","7,000"," "," "," "," "," "," "
1950,"SOUTH CAROLINA",45,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","1,452,000"," "," "," "," "," "," "
1950,"SOUTH DAKOTA",46,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","3,890,000"," "," "," "," "," "," "
1950,TENNESSEE,47,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","2,174,000"," "," "," "," "," "," "
1950,TEXAS,48,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","2,959,000"," "," "," "," "," "," "
1950,UTAH,49,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","31,000"," "," "," "," "," "," "
1950,VERMONT,50,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","67,000"," "," "," "," "," "," "
1950,VIRGINIA,51,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","973,000"," "," "," "," "," "," "
1950,WASHINGTON,53,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","19,000"," "," "," "," "," "," "
1950,"WEST VIRGINIA",54,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","241,000"," "," "," "," "," "," "
1950,WISCONSIN,55,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","2,620,000"," "," "," "," "," "," "
1950,WYOMING,56,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","55,000"," "," "," "," "," "," "
1951,MAINE,23,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","15,000"," "," "," "," "," "," "
1951,MARYLAND,24,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","487,000"," "," "," "," "," "," "
1951,MASSACHUSETTS,25,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","33,000"," "," "," "," "," "," "
1951,MICHIGAN,26,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","1,672,000"," "," "," "," "," "," "
1951,MINNESOTA,27,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","5,469,000"," "," "," "," "," "," "
1951,MISSISSIPPI,28,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","1,910,000"," "," "," "," "," "," "
1951,MISSOURI,29,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","4,447,000"," "," "," "," "," "," "
1951,MONTANA,30,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","180,000"," "," "," "," "," "," "
1951,NEBRASKA,31,"  ","   ",YEAR,CORN,"ALL PRODUCTION PRACTICES","7,369,000"," "," "," "," "," "," "
1951,NEBRASKA,31,"  ","   ",YEAR,CORN,IRRIGATED,"538,010"," "," "," "," "," "," "
